index,theta,A,B,C,X,Y,Id,Iq
312,1.16,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
313,1.29,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
314,1.43,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
315,1.56,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
316,1.68,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
317,1.80,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
318,1.91,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
319,2.04,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
320,2.14,-15.00,-15.00,-16.00,0.41,0.71,0.38,-0.72
321,2.26,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
322,2.38,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
323,2.50,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
324,2.63,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
325,2.71,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
326,2.83,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
327,2.95,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
328,3.06,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
329,3.15,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
330,3.26,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
331,3.38,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
332,3.49,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
333,3.61,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
334,3.75,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
335,3.89,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
336,4.01,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
337,4.13,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
338,4.25,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
339,4.37,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
340,4.52,-15.00,-15.00,-11.00,-1.63,-2.83,3.09,-1.05
341,4.66,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
342,4.78,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
343,4.91,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
344,5.04,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
345,5.14,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
346,5.27,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
347,5.38,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
348,5.50,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
349,5.62,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
350,5.75,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
351,5.85,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
352,5.98,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
353,6.08,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
354,6.19,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
355,6.28,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
356,0.14,-11.00,-20.00,-14.00,4.90,-4.24,4.25,-4.89
357,0.26,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
358,0.40,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
359,0.52,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
360,0.64,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
361,0.75,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
362,0.89,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
363,1.01,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
364,1.15,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
365,1.29,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
366,1.44,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
367,1.56,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
368,1.69,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
